Timestamp,SeqCount,AttackMode,Result,Details
2025-12-11 18:11:21.177,0,Drop,Dropped,BurstRem=0
2025-12-11 18:11:22.852,0,drop,Passed,Prob check
2025-12-11 18:11:25.245,0,Drop,Dropped,BurstRem=0
2025-12-11 18:11:49.616,0,Jamming,Modified,Ratio=5.0%
2025-12-11 18:11:51.383,0,Jamming,Modified,Ratio=5.0%
2025-12-11 18:11:53.617,0,Jamming,Modified,Ratio=5.0%
2025-12-11 18:12:09.769,0,Replay,Scheduled,Delay=1.0s
2025-12-11 18:12:11.455,0,Replay,Scheduled,Delay=1.0s
2025-12-11 18:12:13.554,0,Replay,Scheduled,Delay=1.0s
